Key,Values
5716,"[10097, 12647, 34199, 35244, 40693, 47807, 49896, 49903, 50284, 50430, 50944, 51451, 53759, 58861, 89857, 131587, 133269, 133276, 133295, 133299, 133306, 133319, 133340, 133383, 134121, 134187, 135364, 164919, 165474, 175884, 189226, 241646, 243919, 261666]"
5717,"[10099, 10109, 36910, 37567, 51888, 57042, 67359, 75510, 77100, 94109, 98845, 122096, 153862, 245035]"
5718,"[10102, 56415, 195704, 200100, 201976, 205577, 213334, 214596, 217289]"
5719,"[10104, 46122, 65177, 98950, 98983, 100797, 107429]"
5720,"[10110, 215323, 217957, 223701, 231905, 232392, 234122, 242332, 243071]"
5721,"[10112, 10632, 10991, 11212, 11245, 31190, 31201, 32943, 35030, 35860, 49427, 50626, 65454, 67264, 67407, 67710, 67712, 69591, 70426, 70829, 72693, 157544, 177611, 179406, 180304, 185501, 185913, 185961, 186107, 186111, 186276, 188704]"
5722,"[10114, 148875, 154380, 154546, 154907, 155032, 155242, 155250, 155255, 155284, 155285, 155324, 155418, 155421, 155706, 156089, 156386, 156467, 156509, 156804, 156889, 156899, 156901, 157021, 157514, 160412, 161612, 161778, 175541, 200915]"
5723,"[10123, 18232, 187343, 194382, 231961]"
5724,"[10125, 10629, 12092, 21452, 22684, 36129, 55059, 63108, 69273, 78752, 87653, 114871, 115255, 120993, 121911, 132658, 133547, 154292, 194381, 216646, 219159, 239129]"
5725,"[10131, 29973, 75648, 82021, 129379, 157133, 160293, 192692]"
5726,"[10132, 71613, 100802, 172256, 176853, 182771, 182976, 183733, 183867, 184159, 185360, 186656, 187268, 187378, 187405, 187436, 188123, 188257, 188372, 188986, 191911, 194825, 195270, 195629, 196359, 218715]"
5727,"[10134, 29992, 87970, 95999, 132796, 144546, 176895, 179745, 222570, 235157, 235706, 241956]"
5728,"[10136, 65818, 89011, 143761, 144034, 216307, 235445, 250445]"
5729,"[10142, 10170, 145651, 197951, 208391, 208568, 232666, 256276]"
5730,"[10144, 19517, 42158, 82398, 96155, 104196, 139948, 163519, 209531, 234319, 251978]"
5731,"[10145, 109310, 216317, 231162, 247897, 253913, 260134, 261698]"
5732,"[10146, 151299, 154257, 154502, 155477, 155728]"
5733,"[10148, 47536, 107702, 163002, 209267, 222299]"
5734,"[10152, 32595, 42899, 142727, 156366, 207108]"
5735,"[10157, 10928, 18413, 25200, 32830, 113483, 121412, 164710, 181396, 231317]"
5736,"[10160, 51042, 51044, 51257, 51932, 52201, 64314, 180927, 223982, 237274, 237448]"
5737,"[10161, 10595, 11658, 14002, 58817, 65827, 82063, 119193, 122019, 122117, 175112, 253910]"
5738,"[10167, 77206, 106440, 143326, 152915, 173338, 223833]"
5739,"[10169, 12956, 58637, 130256, 139139, 161557, 180284, 223953, 243946, 259628]"
5740,"[10171, 81975, 122379, 122970, 122988, 123093, 125540, 125834, 127685, 151107]"
5741,"[10176, 26204, 79589, 96319, 101921, 152843, 156361, 157424, 161478, 171445, 214283, 260960]"
5742,"[10177, 11241, 88208, 94453, 106273, 107752, 222347]"
5743,"[10180, 80039, 100904, 118290, 224703, 246342]"
5744,"[10181, 11437, 26362, 59499, 71577, 191202, 194736, 241753, 251694, 256483]"
5745,"[10182, 13679, 23251, 23465, 36537, 46103, 51166, 103172, 245451]"
5746,"[10182, 15370, 23405, 43212, 56443]"
5747,"[10183, 10751, 26537, 30044, 30074, 30142, 31117, 115287, 153228, 160057, 187040, 188806]"
5748,"[10184, 50630, 165250, 175879, 182382, 184139, 193035, 196302]"
5749,"[10187, 49604, 50544, 123194, 143645, 153400, 164655, 173935, 188920, 219835, 225122, 230380, 244367, 260144]"
5750,"[10189, 32623, 35471, 45772, 146511, 147907, 181281]"
5751,"[10190, 36986, 39458, 39949, 40378, 41149, 41710, 43221]"
5752,"[10196, 12737, 44031, 47906, 52923, 55152, 188186, 236133, 250128, 255654]"
5753,"[10197, 95980, 103571, 131816, 155117, 198600, 199072, 199273, 199862, 201198]"
5754,"[10199, 23618, 39489, 40807, 41308, 41678, 42447, 43229, 68460]"
5755,"[10205, 170384, 170388, 170657, 170712, 170740, 170793, 170837, 171142, 171696, 171794, 172098, 172319, 172381, 172436, 172669, 172733, 172956, 173434, 173699, 174194, 174943, 177672, 181691, 181806, 195656, 198901, 200171, 200856, 233029]"
5756,"[10206, 58638, 77523, 80886, 94544, 187238, 196783, 240307]"
5757,"[10209, 22887, 43757, 44262, 44318, 140294, 145688, 172697, 231220, 239031]"
5758,"[10213, 88264, 133898, 144416, 144881, 190292, 231816]"
5759,"[10231, 85947, 93438, 129716, 148486, 198343]"
5760,"[10232, 49579, 123738, 163341, 174559, 221380, 246899]"
5761,[10238]
5762,"[76232, 95024, 155839, 156073, 157268, 197912, 198205, 199193, 200566]"
5763,"[10251, 18269, 26556, 83840, 127092, 221917, 261827]"
5764,"[10258, 42095, 50783, 66900, 68189, 78025, 88515, 174339, 174891, 175794, 188209, 206295, 225115, 225153, 240535, 250971]"
5765,"[10259, 29701, 68651, 80732, 98047, 98540, 112725, 116092, 161861, 179346, 185348, 231366]"
5766,"[10265, 33177, 62933, 66125, 134272, 143310, 221603]"
5767,"[10267, 111078, 178007, 225510, 239616, 252370]"
5768,"[10269, 16245, 20982, 41834, 48642, 151878, 160747, 165879, 182576, 222228, 231254]"
5769,"[10273, 42458, 181519]"
5770,"[10276, 27513, 121796, 147756, 151354, 154944, 155747, 157613, 159993, 193604, 222040, 225582, 238126]"
5771,"[10277, 49795, 99285, 122253, 143205, 150753, 180142, 253073]"
5772,"[10278, 52708, 114884, 183078]"
5773,"[10284, 40656, 101486, 139767, 166352]"
5774,"[32920, 37101, 37595, 38670, 38792, 38938, 39060, 41891, 48030, 48139, 75351, 76302, 76416, 145188, 157427, 162255, 232050, 259458]"
5775,"[10286, 17698, 19816, 83955, 121902, 141252, 142128, 146840, 147395, 147490, 147498, 147982, 148340, 149116, 149145, 149690, 150181, 150182, 150595, 152088, 154409, 161204, 170135, 170582, 198105, 203484]"
5776,"[10289, 16994, 59478, 129512, 130107, 130116, 131977, 137626, 189986, 196269, 259175]"
5777,"[10290, 41953, 42531, 74170, 93989, 125205, 131732, 140258, 151225, 159610, 200057, 223881, 260853]"
5778,"[10293, 25187, 37159, 49601, 55226, 60547, 86703, 121107, 125460, 133046, 197196, 253243, 258923]"
5779,"[10295, 28969, 42334, 61229, 61409, 106578, 109087, 144607, 155781, 226482]"
5780,"[10296, 118917, 132933, 152330, 200933]"
5781,"[10298, 15921, 164510, 245646, 248035, 256051]"
5782,"[10299, 63396, 67093, 71825, 106649, 120468, 167976, 183797, 184987, 186675, 202144, 210002, 232049, 242885]"
5783,"[10302, 21898, 38118, 48824, 106024, 121910, 224061, 225327, 244612, 260935]"
5784,"[10304, 55616, 67568, 162738, 174956, 205939, 231829]"
5785,"[10305, 169720, 197876, 227542, 228113, 231059]"
5786,"[10308, 94498, 94863, 130365, 181475, 231246]"
5787,"[10310, 30638, 97042, 97958, 104858, 129620, 133787, 152283, 165888, 181400, 188317, 198044, 200398, 204247, 204684, 206130, 211084, 211987, 215300, 220039, 223504, 243142]"
5788,"[10315, 32782, 51619, 106211, 114384, 155259, 181320, 181447, 181547, 215790, 215946]"
5789,"[10315, 52266, 199124, 201657, 224540, 254884]"
5790,"[10317, 23219, 26906, 33760, 49056, 82892, 82938, 86127, 86134, 86140, 86177, 86285, 86309, 86618, 91016, 106973, 111129, 112395, 146181, 147795, 151569, 159655, 162708, 166923, 167271, 180919, 214422, 224773, 226245, 230782, 232824, 236990, 237037, 237063, 237131, 237220, 237227, 237398, 238278, 238425, 238753, 252385, 252551, 252646, 259780, 261729]"
5791,"[10318, 10904, 10907, 15965, 21138, 49987]"
5792,"[10320, 25046, 82153, 97736, 136865, 250342]"
5793,"[10322, 10853, 15251, 15329, 15350, 16217, 16357, 16941, 17359, 18584, 18771, 18978, 19281, 19406, 82217, 92463, 94410, 94899, 130822, 130892, 173864, 216023, 237295, 252644]"
5794,"[10325, 106758, 114859, 144659, 149362, 163687, 201078, 259740]"
5795,"[10330, 13929, 25272, 33128, 38431, 38665, 41126, 42078, 42417, 42751, 47824, 50464, 50980, 53734, 54312, 54835, 58414, 58549, 58693, 60872, 66687, 78321, 79139, 81155, 82761, 88499, 89357, 112068, 113458, 114594, 117251, 129146, 130044, 130534, 134246, 147835, 168663, 168921, 176083, 179303, 179587, 180698, 207514, 214987, 230712, 238657, 239060, 241813, 243733, 243735, 245407, 245540, 251557]"
5796,"[10332, 20724, 51184, 58749, 106524, 181558, 216140]"
5797,"[10334, 11917, 11949, 12270, 16331, 23892, 32724, 35042, 106670]"
5798,"[10336, 13256, 18308, 29093, 30390, 74482, 77575]"
5799,"[10339, 21123, 23352, 34279, 37651, 38724, 49151, 72616, 82144, 82377, 83638, 108765, 117083, 133116, 133781, 152433, 158312, 159072, 160082, 167484, 172926, 194169, 215029, 253141, 255174, 257586]"
5800,"[10342, 86214, 101566, 118768, 120633, 121907, 170276]"
5801,"[10343, 11929, 24124, 52011, 68745, 71005, 77842, 78279, 91599, 98087, 99853, 105020, 106720, 153863, 255461]"
5802,"[10344, 29089, 47081, 108066, 108256]"
5803,"[10355, 76510, 92794, 109954, 111200, 123185, 123197, 123223, 124698, 128177, 129292, 135914, 181123, 188741, 188783, 188935, 197848, 221955, 233824, 255676]"
5804,"[10375, 56940, 96566, 105555, 106195, 214377]"
5805,"[10380, 50354, 91888, 239129, 244394, 246049]"
5806,"[10399, 10920, 67193, 68334, 73260, 98143, 144979, 154326, 182022, 250805, 259664]"
5807,"[10401, 66604, 92805, 94809, 149122, 181484, 258874]"
5808,"[10405, 189407, 205268, 225801, 226141, 232925]"
5809,"[10409, 11504, 16073, 19995, 23127, 30598, 52374, 67980, 70139, 104884, 108533, 108938, 113732, 113846, 113881, 115551, 121219, 122720, 122787, 122918, 122996, 123416, 126427, 129671, 233089]"
5810,"[10410, 22284, 22292, 24711, 46227, 57992]"
5811,"[10412, 20051, 20061, 57623, 76369, 94634, 153730, 197675, 209379, 230392]"
5812,"[10417, 235814, 236490, 237481, 237926, 238143, 246243, 248466]"
5813,"[10418, 38646, 40500, 71986, 165041, 173767, 175498, 238410]"
5814,"[10419, 23447, 69303, 70048, 73691, 83592, 152345, 222227, 222232]"
5815,"[10420, 14371, 14668, 14909, 17446, 17720, 21796, 27406, 30884, 35813, 37406, 37962, 39120, 39796, 41353, 41944, 45814, 49151, 50033, 50502, 51308, 58480, 59933, 62802, 63249, 64187, 65722, 68817, 71716, 80483, 82796, 84852, 87221, 87288, 89357, 89621, 92963, 103112, 103584, 105258, 111105, 115009, 119518, 120003, 121327, 123038, 132616, 132675, 133367, 134291, 137154, 140460, 141486, 144482, 145102, 148869, 156009, 159478, 162023, 170190, 172236, 175248, 177754, 178913, 179290, 179343, 194614, 197122, 201237, 201863, 203098, 203881, 207379, 210679, 211049, 212836, 219149, 230055, 230233, 231970, 232225, 232842, 235887, 239184, 245658, 257350, 261213]"
5816,"[10422, 10446, 17343, 121928, 122595, 123176, 123193, 123423, 131878, 144353, 154227, 162016, 164804, 170304, 186307, 188762, 188813, 188909, 188927, 188993, 189201, 190264, 190687, 196556, 198477, 230050, 240481, 241353]"
5817,"[10425, 12687, 46851, 50101, 65965, 69449, 80777, 94771, 97667, 106837, 127844, 133182, 135182, 147805, 156732, 187132, 191267, 201838, 227232, 235844, 237674, 241684, 248203, 249164, 257813]"
5818,"[10426, 94520, 118349, 177993, 203432, 207815, 210809, 233572, 237712]"
5819,"[10431, 99960, 111949, 115508, 119496, 173058, 175552, 177266, 186431, 195868, 255159]"
5820,"[10433, 28433, 120803, 162022, 164018, 225553]"
5821,"[31147, 39030, 53122, 61646, 61654, 65412, 193641, 225292]"
5822,"[10434, 21201, 39510, 51736, 114055, 122324, 130432, 136478, 158915, 163673, 202458, 209536]"
5823,"[10438, 143809, 179511, 180408, 180438, 183968, 194726, 197226, 207479, 208405, 212149, 212259, 220346, 223268, 228389, 229522, 230859, 233524, 233584, 233936, 234418, 234642, 235947, 240185, 241244]"
5824,"[10440, 33694, 126799, 137382, 137994, 172698]"
5825,"[10448, 36860, 72183, 72658, 92347, 245645]"
5826,"[10450, 24137, 75050, 78850, 108775, 108943, 112980, 113801, 113847, 113854, 113881, 113982, 114026, 115689, 115978, 116417, 116447, 119814, 119903, 122840, 123192, 123495, 124206, 128895]"
5827,"[10451, 21319, 71415, 73886, 94759, 162866, 174475, 177554, 213818, 242129]"
5828,"[10454, 11819, 12450, 24693, 33712, 33868, 34008, 126785, 136097, 167436, 174473, 176193, 176408, 176982, 177800, 177992, 178035, 178051, 178336, 178354, 178367, 178377, 178407, 178439, 180629, 181146, 182200, 182406]"
5829,"[78426, 123041, 138669, 154994, 155005, 155191, 159549, 235484]"
5830,"[10459, 87895, 89409, 107010, 107463, 123219, 175431, 181374, 253027]"
5831,"[10463, 79021]"
5832,"[10464, 167225, 231013, 245966, 246040, 256756]"
5833,"[10465, 39078, 151499, 204532, 204642, 214083]"
5834,"[10468, 10768, 10775, 27557, 27565, 28533, 32594, 88612, 90811, 130448, 133714, 152281, 152389, 158223, 239977]"
5835,"[10470, 14965, 23319, 34070, 104872, 213165]"
5836,"[10472, 29074, 77714, 102896, 110848, 132727, 138429, 212889, 215648, 224602, 248185]"
5837,"[10474, 133297, 135916, 180918, 215830, 220938, 255438]"
5838,"[10477, 16792, 41682, 43410, 81493, 205830, 229291]"
5839,"[10479, 11876, 56889, 68933, 77586, 79639, 82268, 98393, 110515, 115432, 129560, 133058, 139888, 141752, 147908, 153447, 153455, 160434, 160531, 167756, 171619, 171746, 175145, 184428, 188485, 189133, 200888, 201991, 206700, 210032, 210632, 224609, 227598, 228404, 249431]"
5840,"[10480, 20874, 41285, 48937, 115107, 190344, 190665, 190889]"
5841,"[10480, 40196, 41285, 58016, 87019, 243488]"
5842,"[10481, 25530, 33855, 34239, 43087, 71913, 95635, 111735, 112089, 116933, 117134, 122140, 130288, 135530, 135547, 138279, 142017, 143860, 146753, 167996, 171888, 214864, 228217]"
5843,"[10484, 33147, 49244, 72488, 146765, 152573, 154903, 164427, 174043, 197262, 244989]"
5844,"[10489, 32663, 34116, 35124, 45502, 49910, 50637, 50649, 50768, 50773, 51843, 52325, 54012, 56850, 57292, 99524, 100562, 133288, 133319, 134187, 134561, 135719, 136153, 164919, 174594, 189226, 189514, 199439]"
5845,"[10494, 129944, 148566]"
5846,"[10495, 52368, 82150, 114509, 116438, 135403, 187640, 229538, 236804]"
5847,"[10496, 15591, 94934, 105479, 154681, 179109, 184616, 200888, 249973]"
5848,"[10505, 11434, 36125, 44120, 57501, 67094, 68932, 78086, 113673, 117904, 119821, 122726, 122860, 123459, 123469, 125975]"
5849,"[10508, 48625, 117144, 183892, 192900, 245040]"
5850,"[10509, 116315, 162874, 168864, 176283, 219188]"
5851,"[10512, 169885, 199912, 223315, 226022, 233246]"
5852,"[10515, 16696, 16800, 31884, 38598, 95445]"
5853,"[10516, 18555, 33560, 33572, 112839, 152852, 197384]"
5854,"[10517, 12549, 15855]"
5855,"[10517, 11767, 13914, 15890, 16929]"
5856,"[10525, 12843, 101416, 106267, 188847, 208031, 236597]"
5857,"[10527, 13246, 39685, 42267, 82636, 171925, 211792]"
5858,"[10528, 11347, 16754, 16782, 95067, 205540]"
5859,"[10531, 11474, 11784, 44120, 51038, 110425, 113801, 116404, 119719, 122852, 123114, 123346, 123577, 128895]"
5860,"[10532, 49192, 50346, 115541, 154006, 240454]"
5861,"[10533, 14915, 28481, 39265, 85689, 99596, 102782, 139573, 227629]"
5862,"[10536, 17923, 19408, 24808, 26414, 30283, 38170, 224928]"
5863,"[10538, 11034, 15117, 15780, 15984, 22012, 25011]"
5864,"[10540, 126537, 126539, 126935, 126946]"
5865,"[10541, 41945, 42184, 153983, 182928, 219726]"
5866,"[10543, 19410, 41344, 63867, 96672, 105494, 115035, 158417, 163041]"
5867,"[10551, 25004, 41606, 101815, 112398, 176858, 181039, 198292, 246101, 248960]"
5868,"[10562, 121332, 125388, 206356, 211174, 248724]"
5869,"[10569, 48352, 116087, 117645, 124859, 125049, 130992, 181177, 207515, 217364, 231334, 248724, 255827]"
5870,"[10573, 16157, 42544, 86233, 165184, 165186]"
5871,"[10575, 31198, 84284, 90213, 176172, 218384]"
5872,"[10593, 10759, 52330, 112624, 175337, 242818]"
5873,"[10598, 27636, 103036, 128480, 143035, 161644, 248050, 250573]"
5874,"[10603, 16092, 16404, 21717, 30800, 31597, 41894, 74357, 92916, 94129, 195459, 259751]"
5875,"[10605, 55538, 63988, 83492, 90690, 148961, 175741, 178821, 180159, 186118, 216759, 242079]"
5876,"[10607, 10992, 10994, 33443, 48694, 52478, 132888, 171967, 197782, 240867, 250105, 256524]"
5877,"[10608, 95788, 156118, 156609, 165571, 183796]"
5878,"[10609, 21517, 21964, 62100, 63263, 99300, 155531, 189964, 191958, 192564, 243823, 243831]"
5879,"[10611, 55389, 64949, 85524, 137285, 149427, 195873, 206723]"
5880,"[10613, 13342, 38665, 47491, 58287, 77136, 83219, 92531, 92912, 101279, 128676, 136852, 139626, 143493, 170389, 172484, 184074, 190136, 192864, 197672, 204495, 219008, 245135, 257916]"
5881,"[10614, 20895, 50485, 51567, 124915, 189905, 190131, 201977, 241098, 257808]"
5882,"[10615, 14344, 20994, 22957, 22989, 30757, 30841, 35636, 57454, 60407, 77699, 78121, 80157, 84494, 99471, 99776, 105364, 108441, 120639, 145750, 150969, 157678, 161967, 165790, 182956, 187802, 187902, 200329, 207074, 209768, 215038, 224148, 225247, 237430, 237432, 237760, 237809, 251483, 253325, 253472, 255701, 255867, 256166, 256246, 256758, 261855]"
5883,"[10616, 29007, 33259, 48370]"
5884,"[10618, 24173, 34793, 63645, 113033, 120705, 157877, 158199, 158726, 172850, 174310, 179935, 180720, 183693, 239817]"
5885,"[10620, 15386, 15528, 21691, 26811, 35602, 90484, 97707, 165306, 169786, 170548, 216939]"
5886,"[10624, 22235, 30517, 40793, 40886, 155111, 208053, 255299]"
5887,"[10633, 24629, 260982, 261339, 261360, 261392, 261406, 261538]"
5888,"[10634, 43019, 54549, 108554, 108706, 109405, 184401, 184404, 232283, 239998]"
5889,"[10636, 32381, 51276, 64115, 78667, 103832, 106592]"
5890,"[10638, 16527, 86287, 86518, 90958, 102185, 152179, 161369, 181334, 205128, 226163, 246117, 261512]"
5891,"[10639, 18479, 23344, 67942, 67970, 87184, 87821, 103749, 152205, 192742, 197313, 231098, 259935]"
5892,"[10642, 16032, 25895, 59770, 127509, 154422, 228981, 241342, 245227]"
5893,"[10646, 92776, 117681, 133678, 134953, 195491, 197701, 236963]"
5894,"[10649, 89663, 170376, 188173, 227816, 248686, 252310]"
5895,"[17939, 58506, 84505, 121248, 126913, 146226, 168536, 231179]"
5896,"[14865, 100311, 108477, 149102, 153664, 166836, 182643, 188477, 214808, 261278]"
5897,"[10652, 78585, 84754, 92358, 128396, 155959, 155978, 156047, 156511, 156780, 158391, 245265]"
5898,"[10654, 15281, 15939, 20927, 51144, 55750, 79609, 104726, 113108, 113962, 114486, 131540, 132676, 132794, 139045, 154149, 155963, 156364, 156406, 161377, 163818, 166841, 174077, 178473, 185793, 186036, 192382, 197270, 197917, 230542, 239913, 247561, 253342, 255046, 257958, 260440, 260640]"
5899,"[10655, 182393, 200791, 209560, 209969, 211925, 217597, 225054, 230709, 230983, 236218, 241969]"
5900,"[10657, 20158, 24123, 25938, 53954, 55643, 58066, 63893, 64323, 80845, 84122, 104451, 128267, 161424, 173471, 177228, 184637, 201748, 211415, 218069]"
5901,"[10657, 23129, 26696, 29981, 30752, 30934, 35692, 35976, 39922, 40179, 42975, 47870, 50818, 50992, 51272, 51467, 57529, 58611, 59855, 62546, 64366, 72877, 85460, 91813, 117717, 124683, 126491, 164616, 166568, 238938]"
5902,"[10658, 153212, 161119, 164209, 224938, 237205]"
5903,"[10661, 26451, 59990, 123301, 158616, 255914]"
5904,"[10663, 15525, 15553, 15558, 15601, 16428, 16432, 51589]"
5905,"[10664, 79994, 123276, 131671, 132938, 138468, 246573]"
5906,"[10665, 35386, 35936, 156831, 163037, 180746, 224160, 237705]"
5907,"[10666, 19992, 84275, 121259, 122364, 148459, 165207, 177509, 184942, 255297]"
5908,"[10668, 16407, 23275, 27203, 32769, 82038, 85820, 101643, 195795, 195993, 199233, 208769, 211591, 221073, 221104, 226078, 261266, 261774]"
5909,"[10670, 135034, 145982, 171149, 179811, 190828, 201750]"
5910,"[10670, 12104, 22048, 132611, 146366, 254949]"
5911,"[10671, 52141, 54564, 61212, 71946, 75016, 82707, 90937, 91550, 104282, 109679, 112640, 113489, 113880, 118004, 122102, 125526, 126070, 128074, 129462, 134434, 135783, 138458, 138799, 149995, 152550, 170592, 173913, 174974, 175241, 181226, 185065, 185981, 189210, 190848, 193730, 193734, 195207, 199627, 200353, 204112, 205261, 208461, 217639, 220234, 226581, 233782, 235651, 245083, 251923, 252665, 255044, 258742]"
5912,"[10671, 36200, 37520, 41099, 43636, 44710, 60660, 82181, 101847, 129467, 148647, 164968, 166546, 175632, 175634, 226863, 230553]"
5913,"[10674, 65914, 105958, 136566, 148000, 216566]"
5914,"[10676, 22343, 37198, 89230, 103496, 154069, 195421, 208710, 226029, 241287]"
5915,"[10677, 12520, 22604, 71270, 203170]"
5916,"[10680, 10743, 10870, 11050, 18494, 19188]"
5917,"[10681, 10689, 16175, 35535, 43220, 43228, 55161, 87923, 87933, 95075, 98153, 110828, 113696, 114218, 130303, 185660, 198559, 230488, 230978, 231299, 234529, 239395, 239400, 239402, 239594, 244455, 253846, 255530, 256007, 260462]"
5918,"[10683, 10758, 10835, 10845, 10848, 11059, 11075]"
5919,"[10684, 20597, 22471, 39018, 53925, 54127, 56255, 56825, 58038, 64548, 70049, 78769, 83979, 87496, 98347, 107966, 124765, 128984, 129317, 133064, 133912, 142292, 143426, 157147, 161128, 171098, 174140, 176343, 176347, 178686, 181265, 181322, 194638, 216351, 221936, 223636, 230944, 244114]"
5920,"[10687, 10723, 10738, 10765, 10803, 10832, 10868, 10875, 10887, 10966]"
5921,"[10687, 10734, 10765, 10783, 10806, 10829, 10843, 10888, 10899, 10901, 10931, 10964, 11063, 11075, 12973]"
5922,"[10689, 43228, 96878, 97810, 98130, 110909, 218509, 230394, 256740]"
5923,"[10690, 10706, 10729, 10735, 10803, 10815, 10955, 11090]"
5924,[10691]
5925,"[10692, 22135, 92595, 92635]"
5926,"[31472, 98869, 106606, 140443, 218602, 246520]"
5927,"[10693, 25064, 64972, 85111, 99092, 107147, 107149, 112184, 112430, 112525, 113007, 114266, 119790, 156741, 177591, 187667]"
5928,"[10697, 31209, 31272, 39549, 42889, 54433, 63164, 66435, 73498, 85775, 106056, 155513, 187873, 187966, 224829, 227782, 232789, 233339, 239655, 255920]"
5929,"[10700, 19968, 43085, 70983, 81942, 96497, 110742, 132017, 165847, 181437, 189299, 203450, 236642, 255424, 258421]"
5930,"[10700, 11151, 41969, 132048, 181885, 211325]"
5931,"[10708, 10866, 12038, 19188, 21774, 24025, 74408]"
5932,[]
5933,"[10714, 10743, 10760, 10819, 10891, 10950, 11042, 39700]"
5934,"[10722, 86583, 86601, 86609, 86627, 91596]"
5935,"[10724, 10891, 10955, 11050, 11091, 17270]"
5936,"[10726, 16326, 47188, 53688, 53704, 124821, 125129, 126933]"
5937,"[10727, 19171, 78663, 78969, 130041, 179904, 190234, 216640, 230635, 236761, 236961, 237216]"
5938,"[10730, 242085]"
5939,"[10733, 51897, 111024, 158492, 166911, 195335]"
5940,"[10739, 10832, 10847, 10848, 10924, 10985, 11042, 11058, 11149, 12038, 13576, 15740, 16481, 18063, 18842, 19263, 20810, 21191, 21490, 24182, 24555, 32532, 46731, 51697, 74408]"
5941,"[10740, 15467, 39302, 40133, 51604, 84518, 116105, 119522, 119592, 125122, 131865, 260013]"
5942,"[10744, 37161, 100945, 102244, 159383]"
5943,"[10746, 10914, 12721, 22014, 22102, 22154, 22273, 22388, 22476, 22554, 23220, 24039, 24088, 24543, 24737, 24888, 25428, 25532, 26483, 26974, 27147, 27691, 27697, 28520, 28582, 28820, 30141, 30202, 30631, 30654, 33518, 34600, 34602, 34790, 36943, 38035, 38232, 54649, 77563, 77746, 156487, 186814, 188006]"
5944,"[17259, 17395, 31087, 109371, 143829, 147954, 149295, 185543, 188042, 190965, 207701, 258842]"
5945,"[10757, 87000, 113879, 163748, 165286, 221876, 250215]"
5946,"[26576, 31408, 74034, 83043, 85162, 94518, 161268, 161485, 169416, 173030, 176550, 195048, 198405, 211268, 217670]"
5947,"[10761, 21755, 42805, 70564, 89699]"
5948,"[10764, 20267, 66768, 76365, 77598, 249131]"
5949,"[10766, 11205, 25459, 44951, 58142, 65365, 73004, 106151, 106435, 122183, 123115, 128741, 135015, 147956, 160658, 163099, 176505, 177006, 185200, 186618, 186856, 200772, 216160, 217391, 218489, 227766, 244650, 244722, 244975, 258354, 259436]"
5950,"[10767, 57880, 74121, 154658, 158623, 221560, 227966]"
5951,"[10769, 21281, 50970, 139342, 172560, 200867, 215476, 221399, 228758, 230962, 245646, 253557, 261734, 261851]"
5952,"[10771, 40094, 67535, 73294, 110931, 119649, 131094, 144768, 165503, 171606, 186958, 187039, 223131]"
5953,"[10772, 15934, 18529, 25970, 28589, 30726, 31537, 35157, 35770, 44511, 46194, 48282, 50838, 51894, 61065, 64054, 64568, 70020, 72605, 80819, 81420, 93010, 104655, 124954, 125558, 128388, 128552, 139578, 139732, 152716, 153005, 159748, 177817, 178238, 179366, 182496, 184681, 193281, 199428, 199787, 208229, 210024, 218089, 247069]"
5954,"[10773, 42621, 49308, 79183, 113497, 121867, 141056, 164213, 199763, 200189, 237557, 243329, 243565, 259993]"
5955,"[10773, 29430, 49295, 60122, 76043, 163054, 243109]"
5956,"[10774, 13901, 22357, 24014, 24607, 24888, 24928, 25487, 25952, 29413, 30631, 31307, 37116, 38608, 38854, 42455, 43489, 44767, 51287, 54578, 55372, 70940, 71733, 76999, 80684, 95421, 119341]"
5957,"[10776, 16771, 73597, 172261, 176547, 235085]"
5958,"[10777, 32928, 98025, 121680, 144289, 155950]"
5959,"[10779, 45507, 46754, 94961, 195113, 196954, 204716, 211947, 213129, 255583]"
5960,"[10785, 21456, 36609, 36718, 40899, 55451]"
5961,"[10787, 16081, 105564, 136297, 194159, 222856]"
5962,"[10788, 30089, 39508, 155231, 155753, 173865, 173867]"
5963,"[10791, 11199, 21206, 29224, 30230, 37462, 58880, 126595, 132989, 133707, 134284, 139698, 155558, 172409, 175136, 193820, 221477, 236274, 257962]"
5964,"[10792, 58303, 58491, 58730, 59629, 77477, 89319, 201466, 261688]"
5965,"[10796, 11009, 11383, 11643, 38328]"
5966,"[10799, 119084, 177846, 201048, 208485, 217064, 219149, 230668, 240414]"
5967,"[10799, 20787, 78453, 94469, 113897, 152645, 154947, 174385, 181885, 187964, 218272, 220068, 226881, 254723]"
5968,"[10802, 59144, 98109, 107370, 133608, 183795, 190163]"
5969,"[10805, 171227, 174814, 199094, 199964, 257888]"
5970,"[10807, 33187, 51849, 240228, 248022]"
5971,"[10809, 20915, 29909, 41550, 65639, 76247, 198216]"
5972,"[10810, 20738, 35473, 58759, 95852, 166294, 215391, 241425]"
5973,"[10811, 95164, 103417, 114984, 154707]"
5974,"[10812, 75152, 101703, 124946, 138216, 172806, 198121]"
5975,"[10816, 20841, 25269, 28416, 35302, 36566, 38296, 55269, 73497, 98808, 139651, 140241, 160820, 195553, 195564, 203707, 206837, 207466, 215699]"
5976,"[10824, 30864, 74395, 75871, 216791, 218350]"
